feature,importance
pm10_roll6,41.08635742922204
pm10_diff1,16.486732643371397
pm_ratio,8.862924817012026
pm25_roll6,2.8225808940003856
no2_roll6,1.6115683191216155
so2_roll24,1.520859875039122
pm25_diff1,1.384311432132522
pres_76394,1.342116800757714
o3_roll6,1.2423029558180814
hour_cos,1.1529417460738822
co_roll6,1.1373192056666135
pres_76393,1.1325346670821237
hour,1.0925020183323526
pm10_roll24,0.9873106271378647
lon,0.904071381441477
co_diff1,0.8895682324190127
no_diff1,0.8079593736931181
hour_sin,0.7345274299390322
so2_roll6,0.6174017250144415
rhum_76394,0.6035612635671352
no2_roll24,0.5843426415505877
month_sin,0.5608307644817834
month,0.5522685816313428
o3_roll24,0.5316446832784392
o3_diff1,0.5269557211907328
wdir_MMMY0,0.5134010597579276
day_of_week,0.5050381304741042
no_roll6,0.49559209633930235
wspd_mean,0.4778628360439549
lat,0.47472287769587734
nox_roll24,0.4468690999816184
wdir_76393,0.44146345259326436
nox_roll6,0.43478238412092446
rhum_MMMY0,0.4256409233626278
rhum_mean,0.41978477417413723
no2_diff1,0.4128275918535169
pm25_roll24,0.40524779328462934
no_roll24,0.40501507085794086
wdir_76394,0.39951760120029967
temp_76394,0.3818090656736079
wspd_76393,0.38140359498312915
pres_MMMY0,0.3568050976374544
rhum_76393,0.34950059263259425
temp_mean,0.3400260988981383
temp_76393,0.3024343217121428
cldc_76394,0.2584407756851668
co_roll24,0.24086384860102028
temp_MMMY0,0.2270360059355737
cldc_76393,0.2215716015167475
coco_76394,0.19802674540635432
wspd_76394,0.19696666336355298
location_id,0.18474485318628092
nox_diff1,0.17758053018720812
wspd_MMMY0,0.16137818566003193
so2_diff1,0.14375178405632436
coco_MMMY0,0.10801881930403442
month_cos,0.10520098211678833
cldc_MMMY0,0.08519893412996819
coco_76393,0.053410834362024394
is_weekend,0.0508103455461222
prcp_MMMY0,0.02817341634285764
prcp_76394,0.007791917069493914
prcp_76393,0.005794065278429033
